Depth-cm,3,4,6,8,10,20,30,40
19.75,33,33.88,35.72,37.3,38.67,42.9,45.2,46.38
20,32.45,33.38,35.2,36.8,38.1,42.4,44.53,45.77
20.25,32,32.9,34.7,36.22,37.6,41.88,44.13,45.31
20.5,31.5,32.45,34.17,35.72,37.1,41.25,43.5,44.73
20.75,31.1,31.98,33.67,35.2,36.58,40.75,42.9,44.28
21,30.6,31.4,33.26,34.75,36.1,40.3,42.53,43.7
21.25,30.13,31,32.75,34.25,35.66,39.8,42,43.28
21.5,29.6,30.55,32.3,33.8,35.1,39.26,41.58,42.76
21.75,29.26,30.1,31.8,33.28,34.6,38.8,41,42.28
22,28.85,29.6,31.4,32.88,34.2,38.35,40.55,41.75
22.25,28.4,29.2,30.98,32.35,33.67,37.88,40,41.28
22.5,28.02,28.77,30.4,31.95,33.3,37.37,39.6,40.85
22.75,27.6,28.35,30.05,31.47,32.8,36.9,39.1,40.3
23,27.2,27.95,29.6,31.02,32.35,36.4,38.6,39.9
23.25,26.8,27.5,29.1,30.63,31.9,36,38.2,39.38
23.5,26.33,27.13,28.77,30.2,31.48,35.53,37.7,38.98
23.75,26,26.73,28.4,29.7,30.93,35.1,37.2,38.5
24,25.53,26.4,27.9,29.3,30.6,34.6,36.8,38.08
24.25,25.23,26,27.55,28.88,30.1,34.15,36.33,37.64
24.5,24.8,25.58,27.17,28.5,29.77,33.72,35.9,37.18
24.75,24.45,25.2,26.73,28.1,29.33,33.3,35.57,36.78
25,24.08,24.87,26.33,27.7,28.9,32.85,35.1,36.3
25.25,23.73,24.5,25.92,27.38,28.55,32.4,34.65,35.88
25.5,23.4,24.1,25.6,26.9,28.14,32.08,34.2,35.4
25.75,23.1,23.73,25.2,26.5,27.8,31.67,33.8,35.05
26,22.7,23.48,24.88,26.24,27.42,31.3,33.38,34.56
26.25,22.4,23.1,24.58,25.83,26.97,30.9,33.08,34.18
26.5,22.02,22.73,24.2,25.5,26.63,30.5,32.6,33.84
26.75,21.77,22.4,23.85,25.1,26.27,30.1,32.2,33.4
27,21.42,22.1,23.5,24.74,25.9,29.7,31.85,33
27.25,21.13,21.8,23.2,24.43,25.6,29.27,31.42,32.65
27.5,20.87,21.5,22.84,24.1,25.25,28.98,31.1,32.25
27.75,20.5,21.15,22.52,23.77,24.9,28.6,30.7,31.93
28,20.25,20.9,22.2,23.48,24.58,28.25,30.3,31.5
28.25,19.93,20.6,21.9,23.1,24.2,27.9,29.9,31.1
28.5,19.7,20.3,21.6,22.76,23.85,27.52,29.6,30.74
28.75,19.4,19.9,21.3,22.45,23.6,27.2,29.23,30.38
29,19.1,19.7,21,22.2,23.27,26.8,28.9,30.1
29.25,18.83,19.4,20.7,21.9,22.92,26.5,28.55,29.7
