Depth-mm,15
0,84.4
1,84.9
2,85.8
3,86.7
4,87.4
5,88.3
6,89
7,89.7
8,90.2
9,90.7
10,91.3
11,91.8
12,92.3
13,92.8
14,93.4
15,93.9
16,94.4
17,95
18,95.6
19,96
20,96.6
21,97.1
22,97.7
23,98.2
24,98.6
25,99
26,99.5
27,99.7
28,100
29,100
30,99.9
31,99.8
32,99.3
33,98.8
34,98
35,97
36,95.8
37,94.2
38,92.4
39,90.3
40,87.9
41,85.3
42,82.3
43,79
44,75.4
45,71.6
46,67.5
47,63.5
48,59.1
49,54.4
50,49.6
51,44.8
52,39.9
53,35.1
54,30.5
55,26.1
56,22
57,18.6
58,15.2
59,12.3
60,9.7
61,7.7
62,5.9
63,4.6
64,3.7
65,2.9
66,2.4
67,2.1
68,2
69,1.9
70,1.8
71,1.8
72,1.8
73,1.8
74,1.6
75,1.6
76,1.6
77,1.6
78,1.6
